user,target_frr,variant,selected_threshold,ema_alpha,primary_interval_sec,secondary_time_sec,validation_outputs,validation_genuine_outputs,validation_impostor_outputs,validation_frr,validation_far,outputs,genuine_outputs,impostor_outputs,frr_false_reject_rate,far_false_accept_rate,impostor_reject_rate,err,genuine_first_reject_sessions,impostor_first_reject_sessions,genuine_mean_first_reject_sec,impostor_mean_first_reject_sec
O3lLYw8FJ-i2-gMx_oXyjfnPh5UgM7MUObX-sJRiAws=,0.05,二次迟滞 EMA+vote 8/10,-0.17460943758487701,0.9,1.0,10.0,333.0,173.0,160.0,0.046242774566473986,0.6125,327.0,167.0,160.0,0.0,0.6125,0.3875,0.2996941896024465,0.0,11.0,0.0,20.90909090909091
O3lLYw8FJ-i2-gMx_oXyjfnPh5UgM7MUObX-sJRiAws=,0.1,一次迟滞 EMA,-0.17806875705718994,0.9,1.0,1.0,3535.0,1775.0,1760.0,0.09971830985915493,0.5267045454545455,3530.0,1770.0,1760.0,0.05480225988700565,0.5267045454545455,0.4732954545454545,0.29008498583569403,12.0,20.0,15.0,8.55
O3lLYw8FJ-i2-gMx_oXyjfnPh5UgM7MUObX-sJRiAws=,0.1,二次迟滞 EMA+EMA,-0.03746143728494644,0.9,1.0,10.0,333.0,173.0,160.0,0.09826589595375723,0.1625,327.0,167.0,160.0,0.041916167664670656,0.1625,0.8375,0.10091743119266056,4.0,20.0,45.0,10.5
O3lLYw8FJ-i2-gMx_oXyjfnPh5UgM7MUObX-sJRiAws=,0.1,二次迟滞 EMA+vote 8/10,-0.04222623631358147,0.9,1.0,10.0,333.0,173.0,160.0,0.09826589595375723,0.175,327.0,167.0,160.0,0.017964071856287425,0.175,0.825,0.09480122324159021,2.0,19.0,35.0,10.526315789473685
O3lLYw8FJ-i2-gMx_oXyjfnPh5UgM7MUObX-sJRiAws=,0.15,一次迟滞 EMA,-0.09470754861831665,0.9,1.0,1.0,3535.0,1775.0,1760.0,0.14985915492957746,0.3494318181818182,3530.0,1770.0,1760.0,0.09887005649717515,0.3494318181818182,0.6505681818181818,0.2237960339943343,14.0,20.0,10.142857142857142,3.6
O3lLYw8FJ-i2-gMx_oXyjfnPh5UgM7MUObX-sJRiAws=,0.15,二次迟滞 EMA+EMA,-0.03023006021976471,0.9,1.0,10.0,333.0,173.0,160.0,0.14450867052023122,0.05625,327.0,167.0,160.0,0.059880239520958084,0.05625,0.94375,0.0581039755351682,5.0,20.0,62.0,10.0
O3lLYw8FJ-i2-gMx_oXyjfnPh5UgM7MUObX-sJRiAws=,0.15,二次迟滞 EMA+vote 8/10,-0.030338479205965996,0.9,1.0,10.0,333.0,173.0,160.0,0.14450867052023122,0.05625,327.0,167.0,160.0,0.0718562874251497,0.05625,0.94375,0.06422018348623854,4.0,20.0,57.5,10.0
O3lLYw8FJ-i2-gMx_oXyjfnPh5UgM7MUObX-sJRiAws=,0.2,一次迟滞 EMA,-0.05562300235033035,0.9,1.0,1.0,3535.0,1775.0,1760.0,0.2,0.17727272727272728,3530.0,1770.0,1760.0,0.13785310734463277,0.17727272727272728,0.8227272727272728,0.15750708215297451,16.0,20.0,7.3125,1.75
O3lLYw8FJ-i2-gMx_oXyjfnPh5UgM7MUObX-sJRiAws=,0.2,二次迟滞 EMA+EMA,-0.019923051819205284,0.9,1.0,10.0,333.0,173.0,160.0,0.19653179190751446,0.04375,327.0,167.0,160.0,0.10179640718562874,0.04375,0.95625,0.07339449541284404,7.0,20.0,52.857142857142854,10.0
O3lLYw8FJ-i2-gMx_oXyjfnPh5UgM7MUObX-sJRiAws=,0.2,二次迟滞 EMA+vote 8/10,-0.02084936760365963,0.9,1.0,10.0,333.0,173.0,160.0,0.19653179190751446,0.0375,327.0,167.0,160.0,0.1377245508982036,0.0375,0.9625,0.08868501529051988,7.0,20.0,45.714285714285715,10.0
